Customer ID,Recency,Frequency,Monetary,Segment,Churn_Probability
12346.0,86,10,230.55,Regular,0.001553159410083804
12349.0,9,2,1268.52,Regular,0.43103129594121775
12355.0,6,1,488.21000000000004,Regular,0.6633898141428363
12358.0,170,1,1429.83,At Risk/Lost,0.6200020668592788
12359.0,65,4,1522.23,Regular,0.1270104035412673
12360.0,2,3,780.04,Regular,0.273046739901933
12361.0,17,2,207.35,Regular,0.4838096924072723
12362.0,177,1,130.0,At Risk/Lost,0.6792420665345671
12366.0,72,1,500.24,Regular,0.6628507461227189
12368.0,66,1,917.6999999999999,Regular,0.643889378692941
12369.0,80,1,348.32,At Risk/Lost,0.6696268548431998
12370.0,63,3,774.62,Regular,0.2732625942164184
12371.0,83,2,607.6800000000001,At Risk/Lost,0.4637919026866865
12373.0,62,2,763.0500000000001,Regular,0.45605067906865815
12374.0,26,1,1388.54,Regular,0.6219514453729482
12377.0,27,1,1210.96,Regular,0.6302898070909022
12380.0,85,3,3217.3,At Risk/Lost,0.18722991332560612
12388.0,21,1,461.62,Regular,0.66457981118824
12389.0,5,2,563.03,Regular,0.46601996218444486
12391.0,36,4,1902.19,Regular,0.11879708144609397
12392.0,29,1,234.75000000000003,Regular,0.674647023946239
12395.0,41,1,1125.44,Regular,0.6342782191117565
12396.0,113,1,931.43,At Risk/Lost,0.6432576226227105
12399.0,83,1,205.98,At Risk/Lost,0.6759124692665561
12402.0,39,2,505.35,Regular,0.46890022128398295
12404.0,120,1,63.24,At Risk/Lost,0.6821526595057874
12406.0,34,2,1629.2,Regular,0.41338392667528706
12409.0,3,1,6802.48,Regular,0.3570601948625931
12416.0,95,1,202.56,At Risk/Lost,0.6760627271597388
12417.0,56,5,1465.95,Regular,0.062040206901506495
12418.0,15,2,879.3100000000001,Regular,0.45027173963478095
12422.0,2,7,2676.34,Regular,0.010375940244180704
12426.0,101,1,762.48,At Risk/Lost,0.650996249798519
12431.0,2,5,1967.76,Regular,0.056434621013925296
12435.0,75,2,1736.88,Regular,0.4081560561744726
